,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
yagL,2.2068689912001758,12.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,2.4168083967898526,12.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
yagN,1.684226684671972,12.0,290849.0,CP4-6 prophage; uncharacterized protein,b0280,
intF,1.5354561184009548,12.0,291406.0,CP4-6 prophage; putative phage integrase,b0281,
ecpA,1.4066882676790464,13.0,305794.0,ECP pilin,b0293,
ecpR,2.034791600697667,13.0,306456.0,putative transcriptional regulator for the ecp operon,b0294,
ykgL,2.040160169808243,13.0,307822.0,uncharacterized protein,b0295,
ykgO,1.5916651459247606,13.0,308224.0,RpmJ-like protein,b4506,
ykgM,1.6087429006985952,13.0,308224.0,50S ribosomal protein L31 type B; alternative zinc-limitation L31 protein,b0296,
ykgR,2.897008556557597,13.0,308851.0,uncharacterized protein,b4671,
ykgP,2.423595676839551,13.0,309426.0,No_gene_product,b4630,
ykgA,1.6823716800139084,13.0,312196.0,No_gene_product,b0300,
ykgQ,2.2635885672684966,13.0,313149.0,No_gene_product,b4631,
rclB,2.5719725963113067,13.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,2.0730385660801374,14.0,320406.0,putative inner membrane protein,b0310,
yahL,2.1084564774839976,15.0,339968.0,uncharacterized protein,b0326,
yahM,1.4471527645159263,15.0,341114.0,uncharacterized protein,b0327,
yahO,1.6287807384534205,15.0,342194.0,"periplasmic protein, function unknown, YhcN family",b0329,
yaiV,1.786652918816196,16.0,389961.0,putative transcriptional regulator,b0375,
psiF,1.4746777235746518,17.0,398848.0,PsiF family protein,b0384,
yajD,1.5019658530287268,18.0,426060.0,HNH nuclease family protein,b0410,
yajI,1.4176503044465119,18.0,428032.0,putative lipoprotein,b0412,
cyoD,1.3746999972385938,19.0,443392.0,cytochrome o ubiquinol oxidase subunit IV,b0429,['CYTBO3_4pp']
hha,1.6106971114781037,20.0,475648.0,"modulator of gene expression, with H-NS",b0460,
tomB,2.04499792311194,20.0,475789.0,Hha toxicity attenuator; conjugation-related protein,b0461,
acrR,1.6320661391012568,20.0,481280.0,transcriptional repressor,b0464,
ybbC,1.9751245152689596,21.0,523036.0,putative immunity protein,b0498,
ybbD,2.4028680569667835,21.0,524288.0,No_gene_product,b0501,
ylbI,1.3627934423486734,21.0,524955.0,No_gene_product,b4632,
sfmA,1.9182049548511084,22.0,553667.0,"FimA homolog, function unknown",b0530,
sfmC,1.740934910206398,22.0,555008.0,putative periplasmic pilus chaperone,b0531,
sfmZ,2.04413027590796,22.0,559303.0,response regulator family protein,b0535,
emrE,2.2293532352244076,23.0,563770.0,DLP12 prophage; multidrug resistance protein,b0543,
ybcK,2.44111048373903,23.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcL,1.8654985485595263,23.0,566348.0,inactive polymorphonuclear leukocyte migration suppressor; DLP12 prophage; UPF0098 family secreted protein,b0545,
ybcM,2.4222427089056873,23.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ylcH,1.4971132772392945,23.0,567823.0,"uncharacterized protein, DLP12 prophage",b4588,
ybcN,1.469361044317272,23.0,567921.0,DLP12 prophage; uncharacterized protein,b0547,
ylcG,1.569677750880817,23.0,569185.0,"uncharacterized protein, DLP12 prophage",b4509,
quuD,1.906015564311788,23.0,569411.0,DLP12 prophage; putative antitermination protein,b0551,
essD,1.6934329175105227,23.0,572928.0,DLP12 prophage; putative phage lysis protein,b0554,
rrrD,1.5807661268469342,23.0,573440.0,DLP12 prophage; putative lysozyme,b0555,
borD,1.5562403794898558,23.0,574055.0,DLP12 prophage; putative lipoprotein,b0557,
ybcV,2.3386942653220544,23.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
ybcW,2.2369140304833244,23.0,575488.0,DLP12 prophage; uncharacterized protein,b0559,
ylcI,1.5227623527803877,23.0,575706.0,"DUF3950 family protein, DLP12 prophage",b4589,
ybcY,1.5928892464419646,23.0,577607.0,No_gene_product,b0562,
tfaX,1.82132197119052,23.0,578560.0,No_gene_product,b0563,
appY,2.556269788169356,23.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ompT,1.6477668757467703,23.0,580135.0,DLP12 prophage; outer membrane protease VII; outer membrane protein 3b,b0565,
ybdO,2.125341472709482,24.0,632832.0,putative DNA-binding transcriptional regulator,b0603,
cspE,1.6968882685814222,25.0,652800.0,constitutive cold shock family transcription antitermination protein; negative regulator of cspA transcription; RNA melting protein; ssDNA-binding protein,b0623,
tatE,1.5665703795914254,25.0,654402.0,TatABCE protein translocation system subunit,b0627,
ybeU,1.6566105670717384,26.0,674963.0,DUF1266 family protein,b0648,
uof,1.6808792818717666,27.0,706094.0,ryhB-regulated fur leader peptide,b4637,
ybfP,1.7724505544211813,28.0,710867.0,lipoprotein,b0689,
ybfG,1.4537575149059072,28.0,711402.0,No_gene_product,b0691,
ybfI,1.7218733880987114,28.0,712192.0,No_gene_product,b4636,
ybfK,1.694134233758846,28.0,716288.0,uncharacterized protein,b4590,
kdpF,1.3691717585306302,29.0,724187.0,potassium ion accessory transporter subunit,b4513,['Kabcpp']
ybfA,1.4197256263277371,29.0,724589.0,DUF2517 family protein,b0699,
ybfB,3.1443067255189208,29.0,729231.0,putative membrane protein,b0702,
ybfC,2.050105465888779,29.0,731136.0,putative secreted protein,b0704,
ybfQ,2.151035985489913,29.0,731900.0,No_gene_product,b4514,
ybfL,1.803017286957503,29.0,733184.0,No_gene_product,b0705,
ybfD,1.8800591544946168,29.0,733547.0,H repeat-associated putative transposase,b0706,
ybgD,1.6582329472324244,30.0,747684.0,putative fimbrial-like adhesin protein,b0719,
cydX,1.4515419797702114,31.0,769651.0,cytochrome d (bd-I) ubiquinol oxidase subunit X,b4515,
ybgC,1.3404590840505954,31.0,770207.0,acyl-CoA thioester hydrolase,b0736,['DHNCOAT']
ybgS,1.4943122183418358,32.0,780392.0,putative periplasmic protein,b0753,
ybhM,1.5955696211512183,33.0,816248.0,BAX Inhibitor-1 family inner membrane protein,b0787,
ybiI,1.4596729931590364,34.0,833645.0,DksA-type zinc finger protein,b0803,
yliE,1.5217164776160894,35.0,868434.0,putative membrane-anchored cyclic-di-GMP phosphodiesterase,b0833,
bssR,1.4660245717458311,35.0,873703.0,repressor of biofilm formation by indole transport regulation,b0836,
clpS,1.5065456852568184,36.0,918528.0,regulatory protein for ClpA substrate specificity,b0881,
infA,1.4041791361795974,36.0,921680.0,translation initiation factor IF-1,b0884,
ycaK,1.6698445203971954,37.0,945123.0,putative NAD(P)H-dependent oxidoreductase,b0901,
ycaP,1.4369544575003161,37.0,952320.0,UPF0702 family putative inner membrane protein,b0906,
ycbK,1.3954498424892665,38.0,978944.0,M15A protease-related family periplasmic protein,b0926,
elfA,1.7601090535564363,39.0,993323.0,laminin-binding fimbrin subunit,b0938,
rmf,1.5685650571527678,40.0,1011200.0,ribosome modulation factor,b0953,
matP,1.4423283273995546,40.0,1013940.0,Ter macrodomain organizer matS-binding protein,b0956,
cspH,1.6790311383539072,41.0,1046528.0,"stress protein, member of the CspA-family",b0989,
cspG,1.4053228952642938,41.0,1047040.0,"cold shock protein homolog, cold-inducible",b0990,
ymcE,1.5158323945429524,41.0,1047302.0,cold shock gene,b0991,
yccE,2.4556017536038253,42.0,1059491.0,uncharacterized protein,b1001,
ycdT,1.8046192900374993,43.0,1089536.0,"diguanylate cyclase, membrane-anchored",b1025,
ymdE,1.9200082956401374,43.0,1090960.0,No_gene_product,b1028,
csgD,1.7961407137298189,44.0,1098001.0,csgBAC operon transcriptional regulator,b1040,
csgC,2.30090898733948,44.0,1100416.0,curli assembly protein,b1043,
yceO,1.4660909258542951,45.0,1114762.0,uncharacterized protein,b1058,
bssS,1.505628081571878,45.0,1116160.0,biofilm regulator,b1060,
yceQ,1.4579418137196847,46.0,1140224.0,uncharacterized protein,b1085,
yceD,1.6180789423569648,46.0,1142249.0,DUF177 family protein,b1088,
rpmF,1.3595233622241567,46.0,1142822.0,50S ribosomal subunit protein L32,b1089,
bhsA,1.593838780184205,47.0,1164528.0,"biofilm, cell surface and signaling protein",b1112,
ycfZ,1.6027739851909675,48.0,1175934.0,inner membrane protein,b1121,
ymfA,1.4236062562378797,48.0,1176719.0,DUF3592 family inner membrane protein,b1122,
ymfD,2.187626384002772,49.0,1192322.0,e14 prophage; putative SAM-dependent methyltransferase,b1137,
ymfE,2.44968156465402,49.0,1192988.0,e14 prophage; putative inner membrane protein,b1138,
lit,2.0667149807551755,49.0,1194150.0,"T4 phage exclusion protein; cell death peptidase, e14 prophage",b1139,
intE,1.6869273209323885,49.0,1196032.0,e14 prophage; putative integrase,b1140,
xisE,1.655617740843013,49.0,1196242.0,e14 prophage; putative excisionase,b1141,
ymfI,1.7021870033991156,49.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
ymfJ,1.7985297656103922,49.0,1197231.0,e14 prophage; uncharacterized protein,b1144,
cohE,1.7570167068054106,49.0,1198080.0,e14 prophage; repressor protein phage e14,b1145,
croE,1.6747004680778899,49.0,1198592.0,e14 prophage; putative DNA-binding transcriptional regulator,b1146,
tfaP,1.5923657331471623,50.0,1203587.0,e14 prophage; uncharacterized protein,b1155,
tfaE,1.4732976354858656,50.0,1204224.0,e14 prophage; putative tail fiber assembly protein,b1156,
stfE,1.4981829498620989,50.0,1204574.0,No_gene_product,b1157,
mcrA,2.1111542583753615,50.0,1206272.0,putative 5-methylcytosine/5-hydroxymethylcytosine-specific restriction nuclease; 5-methylcytosine DNA binding protein,b1159,
icdC,2.1674087292707074,50.0,1206868.0,No_gene_product,b4519,
iraM,2.5491825384127154,50.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ycgX,2.0542688836841845,50.0,1208320.0,DUF1398 family protein,b1161,
ycgZ,1.9062527922204469,50.0,1211392.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1164,
ymgA,2.0800571162849533,50.0,1211523.0,RcsB connector protein for regulation of biofilm,b1165,
ariR,2.5474064518771984,50.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ymgC,2.7538956469470683,50.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ycgG,1.6112127957640643,50.0,1212783.0,putative membrane-anchored cyclic-di-GMP phosphodiesterase,b1168,
ymgF,1.7880848601198045,50.0,1214464.0,inner membrane division septum protein,b4520,
ymgI,2.498870320734589,50.0,1218560.0,uncharacterized protein,b4593,
ymgJ,2.4044446822152348,50.0,1218719.0,uncharacterized protein,b4594,
minE,1.5126155866447597,50.0,1219734.0,cell division topological specificity factor,b1174,
ycgJ,1.6849478197180736,50.0,1222055.0,uncharacterized protein,b1177,
pliG,1.7032376402380813,50.0,1222656.0,periplasmic inhibitor of g-type lysozyme,b1178,
hlyE,1.7113910656651594,50.0,1224938.0,hemolysin E,b1182,
ycgY,1.455358848040538,51.0,1240615.0,uncharacterized protein,b1196,
ldrA,1.772814204752005,52.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.9765525999435898,52.0,1265693.0,"toxic polypeptide, small",b4423,
chaB,1.3265350358048806,52.0,1267712.0,cation transport regulator,b1217,
tdk,1.6558752598837478,53.0,1288982.0,thymidine kinase/deoxyuridine kinase,b1238,"['TMDK1', 'DURIK1']"
yciI,1.3724879480759662,54.0,1305088.0,putative DGPF domain-containing enzyme,b1251,
yciB,1.3351600895062772,54.0,1306624.0,IspA family inner membrane protein,b1254,
yciE,1.7347375054514054,54.0,1308974.0,putative rubrerythrin/ferritin-like metal-binding protein,b1257,
yciF,1.6087416314031273,54.0,1309526.0,putative rubrerythrin/ferritin-like metal-binding protein,b1258,
yciG,1.5961856590935426,54.0,1310208.0,KGG family protein,b1259,
trpL,1.3171904874074871,55.0,1317294.0,trp operon leader peptide,b1265,
yciN,1.5942137106674767,56.0,1324673.0,DUF2498 protein YciN,b1273,
ymiA,1.7467877694169327,56.0,1329380.0,uncharacterized protein,b4522,
yciX,1.4802270972553557,56.0,1329664.0,uncharacterized protein,b4523,
osmB,1.5019953709535,57.0,1337366.0,osmotically and stress inducible lipoprotein,b1283,
yciZ,1.4491891252323168,57.0,1338692.0,uncharacterized protein,b4596,
ymjA,1.3501997168177549,58.0,1351680.0,DUF2543 family protein,b1295,
ymjC,1.3792284637822472,59.0,1384981.0,No_gene_product,b4525,
ymjD,1.365780201041082,59.0,1385124.0,No_gene_product,b4673,
ynaI,1.4448163074799296,59.0,1389147.0,"mechanosensitive channel protein, very small conductance",b1330,
ynaJ,1.6205610982646457,59.0,1391621.0,DUF2534 family putative inner membrane protein,b1332,
ydaQ,1.7428130524590426,60.0,1407493.0,Rac prophage; conserved protein,b1346,
rcbA,1.945620249782763,60.0,1407787.0,,,
ralR,1.915520363412335,60.0,1408000.0,Rac prophage; restriction alleviation protein,b1348,
racC,1.7772793458381846,60.0,1411744.0,Rac prophage; uncharacterized protein,b1351,
ydaE,2.088086744701118,60.0,1412096.0,"conserved protein, Rac prophage",b4526,
kilR,2.0033425940323903,60.0,1412264.0,"killing protein, Rac prophage; FtsZ inhibitor protein",b1352,
sieB,1.9527422827153724,60.0,1413120.0,"phage superinfection exclusion protein, Rac prophage",b1353,
racR,1.5708649094625324,60.0,1414021.0,Rac prophage; putative DNA-binding transcriptional regulator,b1356,
ydaS,1.9866613254610488,60.0,1414656.0,Rac prophage; putative DNA-binding transcriptional regulator,b1357,
trkG,2.1650265439525342,61.0,1418038.0,Rac prophage; potassium transporter subunit,b1363,['Kt2pp']
ynaK,1.6120072747822851,61.0,1419776.0,Rac prophage; conserved protein,b1365,
tfaR,1.9100863165173425,61.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
pinR,1.9881671540317047,61.0,1427456.0,Rac prophage; putative site-specific recombinase,b1374,
ynaE,3.0709509511708806,61.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ttcC,1.5289340666265265,61.0,1429248.0,No_gene_product,b4638,
ynbE,1.5019731152625058,62.0,1439943.0,lipoprotein,b1382,
ynbG,2.83144177014936,63.0,1459456.0,uncharacterized protein,b4674,
ydcH,1.7916874685018989,64.0,1492992.0,DUF465 family protein,b1426,
ydcL,1.390016909630069,64.0,1497088.0,lipoprotein,b1431,
hicB,1.742243082380938,65.0,1503764.0,antitoxin for the HicAB toxin-antitoxin system,b1438,
yncL,1.660050806345167,66.0,1511424.0,stress-induced small inner membrane enterobacterial protein,b4598,
ydcX,1.6117324416753733,66.0,1511645.0,DUF2566 family protein,b1445,
mcbR,1.5476746234827912,66.0,1514518.0,"colanic acid and biofilm gene transcriptional regulator, MqsR-controlled",b1450,
yncG,1.5880885625453158,66.0,1520503.0,glutathione S-transferase homolog,b1454,
yncH,3.021299725361811,66.0,1521196.0,IPR020099 family protein,b1455,
ydcD,2.445494113904727,66.0,1524178.0,putative immunity protein for RhsE,b1457,
yncI,1.9736074759622986,66.0,1525760.0,No_gene_product,b1459,
ydcC,1.9519898836633223,66.0,1526072.0,H repeat-associated putative transposase,b1460,
pptA,1.6540451950501731,66.0,1527308.0,4-oxalocrotonate tautomerase,b1461,
yddK,2.737802549626977,67.0,1538640.0,No_gene_product,b1471,
yddL,1.9124518594881268,67.0,1540096.0,No_gene_product,b1472,
yddM,1.416257286667106,67.0,1546752.0,putative DNA-binding transcriptional regulator,b1477,
sra,1.5335664484098854,67.0,1550082.0,stationary-phase-induced ribosome-associated protein,b1480,
bdm,1.7636428680406848,67.0,1550336.0,biofilm-dependent modulation protein,b1481,
yddB,1.4166994415956056,68.0,1569503.0,putative TonB-dependent outer membrane receptor,b1495,
ydeM,1.818200790519269,68.0,1574912.0,putative YdeN-specific sulfatase-maturating enzyme,b1497,
ydeN,1.5537988381038228,68.0,1575098.0,putative Ser-type periplasmic non-aryl sulfatase,b1498,
ydeO,1.8277557299185951,68.0,1577182.0,"UV-inducible global regulator, EvgA-, GadE-dependent",b1499,
safA,2.1869893211770326,68.0,1578018.0,"two-component system connector membrane protein, EvgSA to PhoQP",b1500,
ydeQ,1.4417800004445787,68.0,1581076.0,putative fimbrial-like adhesin protein,b1502,
ydeR,1.5397186494336281,68.0,1582049.0,putative fimbrial-like adhesin protein,b1503,
ydeT,1.5939631938598966,68.0,1583109.0,No_gene_product,b1505,
yneL,1.8329196297640622,68.0,1584640.0,No_gene_product,b1506,
yneK,1.689461513095342,69.0,1610019.0,uncharacterized protein,b1527,
marB,1.552743292129302,69.0,1614336.0,periplasmic mar operon regulator,b1532,
yneM,1.6775385246506502,69.0,1616902.0,inner membrane-associated protein,b4599,
ydfK,3.3608943313222355,70.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
pinQ,2.010343119525548,70.0,1628160.0,Qin prophage; putative site-specific recombinase,b1545,
tfaQ,1.8232695105296768,70.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
ynfO,1.5953103763722016,70.0,1631232.0,"uncharacterized protein, Qin prophage",b4533,
ydfO,2.3396473672442997,70.0,1631303.0,Qin prophage; uncharacterized protein,b1549,
gnsB,2.624235150076701,70.0,1631865.0,Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts),b1550,
ynfN,2.0214726193858223,70.0,1632256.0,Qin prophage; cold shock-induced protein,b1551,
cspI,2.113002414928512,70.0,1632768.0,Qin prophage; cold shock protein,b1552,
rzpQ,1.4410441738121533,70.0,1633286.0,"Rz-like protein, Qin prophage",b1553,
rzoQ,1.488247346954852,70.0,1633336.0,"putative Rz1-like lipoprotein, Qin prophage",b4689,
essQ,1.7212060049527125,70.0,1634816.0,Qin prophage; putative S lysis protein,b1556,
cspB,2.9092309095693594,70.0,1635595.0,Qin prophage; cold shock protein,b1557,
cspF,1.3165214111365444,70.0,1636111.0,Qin prophage; cold shock protein,b1558,
rem,1.35869023086055,70.0,1638912.0,Qin prophage; uncharacterized protein,b1561,
hokD,1.475066618915833,70.0,1639424.0,Qin prophage; small toxic polypeptide,b1562,
relB,1.8759425180657923,70.0,1639936.0,antitoxin of the RelE-RelB toxin-antitoxin syste; transcriptional repressor,b1564,
ydfV,1.5929779772208295,70.0,1640448.0,Qin prophage; uncharacterized protein,b1565,
flxA,1.4550117730453769,70.0,1640960.0,Qin prophage; uncharacterized protein,b1566,
intK,1.3619549689872963,70.0,1641472.0,No_gene_product,b1567,
ydfX,1.4202785183785112,70.0,1641614.0,No_gene_product,b1568,
dicC,1.5122954845895666,70.0,1641984.0,Qin prophage; DNA-binding transcriptional regulator for DicB,b1569,
dicA,2.261443151977613,70.0,1642496.0,Qin prophage; putative regulator for DicB,b1570,
ydfA,1.751067654079705,70.0,1642764.0,Qin prophage; uncharacterized protein,b1571,
ydfB,1.461398460217346,70.0,1643008.0,Qin prophage; uncharacterized protein,b1572,
dicB,2.1148406648676263,70.0,1644032.0,Qin prophage; cell division inhibition protein,b1575,
ydfD,1.7549508243495893,70.0,1644050.0,Qin prophage; uncharacterized protein,b1576,
intQ,1.504666237521756,70.0,1646592.0,No_gene_product,b1579,
ynfC,1.5210920685086606,71.0,1651003.0,UPF0257 family lipoprotein,b1585,
ynfD,1.4860308643837414,71.0,1651821.0,DUF1161 family periplasmic protein,b1586,
folM,1.3419886363446907,72.0,1675264.0,"dihydromonapterin reductase, NADPH-dependent; dihydrofolate reductase isozyme",b1606,"['DHMPTR', 'DHFR']"
blr,1.735225788432325,73.0,1698816.0,beta-lactam resistance membrane protein; divisome-associated protein,b4409,
cnu,1.6975781544421928,73.0,1699328.0,nucleoid-associated oriC-binding protein; H-NS and StpA stabilizing factor,b1625,
slyA,1.5081601234574828,74.0,1714646.0,global transcriptional regulator,b1642,
ribC,1.4334655455567955,75.0,1736857.0,"riboflavin synthase, alpha subunit",b1662,['RBFSa']
ydhZ,1.4426135134257336,76.0,1749188.0,uncharacterized protein,b1675,
lpp,1.4490751357400886,76.0,1751677.0,murein lipoprotein,b1677,"['ALPATG160pp', 'ALPATE160pp']"
ydiL,1.5471800759106342,77.0,1764871.0,putative HTH domain DNA-binding protein,b1689,
ydiE,1.5784997466472641,78.0,1783869.0,hemin uptake protein HemP homolog,b1705,
ydiV,1.6269044773015024,78.0,1785856.0,"anti-FlhD4C2 factor, inactive EAL family phosphodiesterase",b1707,
pheM,1.3743947570645345,79.0,1793482.0,phenylalanyl-tRNA synthetase operon leader peptide,b1715,
arpB,2.2068189843053094,79.0,1797350.0,No_gene_product,b4494,
yniD,1.3653374143688355,79.0,1799421.0,uncharacterized protein,b4535,
ydiZ,1.6430138024290006,79.0,1801728.0,uncharacterized protein,b1724,
yniB,1.5542067983710233,79.0,1802953.0,putative inner membrane protein,b1726,
ydjO,2.4746461257293055,79.0,1806585.0,uncharacterized protein,b1730,
chbR,1.3568112815731699,79.0,1812861.0,"repressor of chb operon for N,N'-diacetylchitobiose utilization",b1735,
osmE,1.3394581132682164,79.0,1816174.0,osmotically-inducible lipoprotein,b1739,
ynjI,1.660575941863159,80.0,1839104.0,inner membrane protein,b1762,
ydjE,1.6115281143422606,81.0,1847296.0,"putative MFS sugar transporter, membrane protein",b1769,
yeaI,1.8902583718434993,82.0,1864641.0,putative membrane-anchored diguanylate cyclase,b1785,
yeaJ,1.4830598495861005,82.0,1867776.0,putative diguanylate cyclase,b1786,
yoaK,1.7194065952846465,83.0,1873029.0,inner membrane-associated protein,b4676,
yoaJ,1.8747580166125675,83.0,1873152.0,inner membrane-associated protein,b4675,
yeaQ,1.4540791959707784,83.0,1873408.0,UPF0410 family protein,b1795,
yoaG,1.4478225327062852,83.0,1873659.0,uncharacterized protein,b1796,
yoaC,1.911915920468058,84.0,1888389.0,DUF1889 family protein,b1810,
yoaH,1.4194120301424717,84.0,1888808.0,UPF0181 family protein,b1811,
yobD,1.832194723798179,85.0,1899057.0,UPF0266 family inner membrane protein,b1820,
cspC,1.5309781212748494,85.0,1901568.0,"stress protein, member of the CspA-family",b1823,
yobF,1.623559767481059,85.0,1901704.0,DUF2527 family heat-induced protein,b1824,
yebO,1.5039826358677884,85.0,1902592.0,putative inner membrane protein,b1825,
mgrB,1.4283191079993978,85.0,1902879.0,"regulatory peptide for PhoPQ, feedback inhibition",b1826,
yobH,1.6004759793178212,85.0,1903181.0,uncharacterized protein,b4536,
yobI,2.1911157161226495,86.0,1940371.0,uncharacterized protein,b4677,
yecT,1.745950907808162,87.0,1956228.0,uncharacterized protein,b1877,
uspC,1.8294061098623284,88.0,1973233.0,universal stress protein,b1895,
azuC,1.7337524936312414,89.0,1981353.0,acid-inducible small membrane-associated protein,b4663,
ftnA,1.5269404750022664,89.0,1982464.0,ferritin iron storage protein (cytoplasmic),b1905,
fliS,1.5722913939028524,90.0,1998848.0,flagellar protein potentiates polymerization,b1925,
yedN,2.4312321285110055,91.0,2004992.0,No_gene_product,b4495,
rcsA,1.9875912861765324,92.0,2017448.0,transcriptional regulator of colanic acid capsular biosynthesis,b1951,
dsrB,1.3868186243254543,92.0,2018115.0,uncharacterized protein,b1952,
yedS,1.5321598339629692,93.0,2027531.0,No_gene_product,b4496,
yedV,1.8059616879577558,93.0,2031616.0,putative sensory kinase in two-component regulatory system with YedW,b1968,
yedW,1.6937604652502127,93.0,2031632.0,response regulator family protein,b1969,
zinT,2.304996245680115,93.0,2034855.0,"zinc and cadmium binding protein, periplasmic",b1973,
yodB,1.7070647750642056,93.0,2035848.0,cytochrome b561 homolog,b1974,
mtfA,1.479115597164561,93.0,2037760.0,anti-repressor for DgsA(Mlc),b1976,
yeeL,1.9403110060262512,93.0,2045952.0,No_gene_product,b4497,
yeeN,1.7311133813807176,93.0,2050338.0,UPF0082 family protein,b1983,
yeeH,1.8277921962983366,94.0,2059548.0,No_gene_product,b4639,
yoeG,1.672815418942454,94.0,2060840.0,No_gene_product,b4640,
yoeH,2.9217819830902987,94.0,2061824.0,No_gene_product,b4641,
yoeD,1.4397082669702348,95.0,2072064.0,No_gene_product,b4642,
yoeF,1.6919987992494854,95.0,2072226.0,No_gene_product,b4538,
yeeX,1.5054784540355743,95.0,2072576.0,UPF0265 family protein,b2007,
yoeI,1.271462602284121,96.0,2080532.0,uncharacterized protein,b4678,
yoeB,1.8723352475447395,96.0,2082816.0,toxin of the YoeB-YefM toxin-antitoxin system,b4539,
yefM,2.0160507861353607,96.0,2082942.0,antitoxin of the YoeB-YefM toxin-antitoxin system,b2017,
hisL,2.383706305683556,96.0,2083476.0,his operon leader peptide,b2018,
ugd,1.6302929136584539,97.0,2093056.0,UDP-glucose 6-dehydrogenase,b2028,['UDPGD']
wbbK,2.1513512957709957,97.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,['O16GLCT1']
wbbJ,1.6559442994984073,97.0,2097974.0,putative lipopolysaccharide biosynthesis O-acetyl transferase,b2033,['O16AT']
wbbI,2.4551136289333333,97.0,2099200.0,"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase",b2034,['O16GALFT']
wbbH,2.708171733389459,97.0,2099540.0,O-antigen polymerase,b2035,"['O16AP1pp', 'O16AP2pp', 'O16AP3pp']"
glf,2.272044913479229,97.0,2101248.0,"UDP-galactopyranose mutase, FAD/NAD(P)-binding",b2036,['UDPGALM']
