,Multiplicity,Group Number,Start Position,Product,Gene,iJO1366 Reactions
ompF,2.8331208481429107,8.0,981349.0,outer membrane porin 1a (Ia;b;F),b0929,"['ACNAMtex', 'SUCCtex', 'XYLUtex', 'ACALDtex', 'CMPtex', 'F6Ptex', 'CLtex', 'DHAtex', 'IMPtex', 'PHEtex', 'IDONtex', 'CMtex', 'CRNDtex', 'DAMPtex', 'GLYC3Ptex', 'CGLYtex', 'DDGLCNtex', 'MANtex', 'INDOLEtex', 'TRPtex', 'UMPtex', 'ACGAM1Ptex', 'GSNtex', 'CRNtex', 'GMPtex', 'LEUtex', 'XYLtex', 'FE2tex', 'SLNTtex', 'ACGALtex', 'SKMtex', 'SO2tex', 'CITtex', 'DALAtex', 'SO3tex', 'CO2tex', 'ACGAL1Ptex', 'GTHOXtex', 'CHLtex', 'FORtex', 'TSULtex', 'SUCRtex', 'SULFACtex', 'INSTtex', 'TTRCYCtex', 'PItex', 'DGMPtex', 'AMPtex', 'ANHGMtex', 'DGSNtex', 'ILEtex', 'GLYCLTtex', 'COBALT2tex', 'Zn2tex', 'ACSERtex', 'TUNGStex', 'CSNtex', 'AGMtex', 'LIPOtex', 'CHTBStex', 'SO4tex', 'DAPtex', '3UMPtex', 'TYMtex', 'URAtex', 'ACGAtex', 'LYStex', 'DINStex', 'GALURtex', 'GTHRDtex', 'OROTtex', 'ALLTNtex', 'MMETtex', 'FUSAtex', 'NH4tex', 'THMtex', '12PPDRtex', 'ALAALAtex', 'NOtex', '12PPDStex', 'R5Ptex', 'XANtex', 'CUtex', 'SPMDtex', 'XMPtex', 'ALLtex', 'TYRPtex', '23CCMPtex', 'DCAtex', 'GAMAN6Ptex', 'THRPtex', 'TYRtex', '23CAMPtex', 'CU2tex', 'NI2tex', 'NO2tex', 'GTPtex', 'MNLtex', 'GLCNtex', '23CGMPtex', 'GAL1Ptex', '23CUMPtex', 'GALtex', 'HG2tex', 'MALtex', 'NAtex', '23DAPPAtex', 'DCMPtex', 'G1Ptex', 'MAN6Ptex', 'UACGAMtex', 'PYDAMtex', 'XTSNtex', 'MNtex', 'ARBTtex', 'DMSOtex', 'THMDtex', 'G6Ptex', 'GAMtex', 'HIStex', 'NMNtex', 'PACALDtex', 'THRtex', 'GALBDtex', 'THYMtex', 'GBBTNtex', 'PNTOtex', 'TREtex', 'CYANtex', 'MANGLYCtex', 'NO3tex', 'FE3tex', 'GLCRtex', '26DAHtex', 'PYDXNtex', 'H2O2tex', 'DIMPtex', 'DMStex', 'H2Otex', 'O2Stex', 'UDPGALtex', 'ASPtex', '3CMPtex', '3HPPtex', 'HCINNMtex', 'ARBtex', '3AMPtex', 'ACtex', 'GLYCtex', 'O2tex', 'DSERtex', 'FRULYStex', 'PSCLYStex', 'ABUTtex', 'MOBDtex', 'LALALGLUtex', 'CA2tex', 'GLCUR1Ptex', 'GLCURtex', 'DOXRBCNtex', 'H2Stex', 'UDPGLCURtex', 'DOPAtex', 'FRUURtex', 'GLCtex', 'HXAtex', 'CD2tex', 'DUMPtex', 'ETHAtex', 'H2tex', 'FRUtex', 'UDPGtex', 'ADEtex', 'ETHSO3tex', 'D__LACtex', 'DTMPtex', 'FALDtex', 'CYTDtex', 'OCTAtex', 'GLYtex', 'SERtex', 'PSERtex', 'BALAtex', 'FUCtex', 'LCTStex', 'PROGLYtex', 'ETOHtex', 'ACMUMtex', 'HYXNtex', 'ACMANAtex', 'Htex', '34dhpactex', 'ARGtex', 'UDPACGALtex', 'ACACtex', 'PROtex', '3GMPtex', 'PEAMNtex', 'FUMtex', 'MELIBtex', '3PEPTtex', 'ASO3tex', 'BTNtex', 'GALTtex', 'MSO3tex', 'CYNTtex', 'TARTRDtex', 'CYSDtex', 'METtex', 'UREAtex', 'RIBtex', 'MEOHtex', 'PPALtex', 'ISETACtex', 'PYDXtex', 'SBTtex', 'LYXtex', 'ALAtex', 'GLNtex', 'ASCBtex', 'GALCTNLtex', '4HOXPACDtex', 'TMAtex', 'MG2tex', 'G3PCtex', 'RMNtex', 'GALCTNtex', 'Ktex', 'HOMtex', 'TARTRtex', 'GLUtex', 'GALCTtex', 'TMAOtex', 'MALDtex', '4PEPTtex', 'G3PGtex', 'PYRtex', 'GLYALDtex', 'METDtex', '5DGLCNtex', 'ASNtex', 'PPAtex', 'GDPtex', 'MINCYCtex', 'N2Otex', 'G3PEtex', 'L__LACtex', 'HPPPNtex', 'TAURtex', 'SELtex', 'TCYNTtex', 'PPPNtex', 'QUIN2tex', 'GLYBtex', 'NACtex', 'CYStex', 'GLYCAtex', 'G3PItex', 'BUTSO3tex', 'METSOX1tex', 'VALtex', 'GLYC2Ptex', 'AKGtex', 'BUTtex', 'METSOX2tex', 'PTRCtex', 'LALADGLUtex', 'ORNtex', '5MTRtex', 'G3PStex', 'PPTtex']"
ldrA,1.5169560336047574,9.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.4302006918693058,9.0,1265693.0,"toxic polypeptide, small",b4423,
ynaJ,1.6939874755904685,10.0,1391621.0,DUF2534 family putative inner membrane protein,b1332,
uspE,1.7292350633800968,10.0,1392640.0,stress-induced protein,b1333,
fnr,1.9028152927263404,10.0,1393030.0,oxygen-sensing anaerobic growth regulon transcriptional regulator FNR; autorepressor,b1334,
ogt,1.822267333778581,10.0,1393977.0,O-6-alkylguanine-DNA:cysteine-protein methyltransferase,b1335,
abgT,1.740374090008202,10.0,1394503.0,p-aminobenzoyl-glutamate transporter; membrane protein,b1336,
abgB,1.7001694324167695,10.0,1396066.0,"p-aminobenzoyl-glutamate hydrolase, B subunit",b1337,
abgA,1.7290447791185575,10.0,1398784.0,"p-aminobenzoyl-glutamate hydrolase, A subunit",b1338,
abgR,1.7661935238579634,10.0,1398997.0,putative DNA-binding transcriptional regulator of abgABT operon,b1339,
smrA,1.9159654955674117,10.0,1400235.0,DNA endonuclease,b1340,
ydaM,1.6995813984248545,10.0,1400832.0,"diguanylate cyclase, csgD regulator",b1341,
tfaR,1.6519904957755702,11.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.7105726384879785,11.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.7100048022924081,12.0,1459456.0,uncharacterized protein,b4674,
ydcD,1.3356881244424128,13.0,1524178.0,putative immunity protein for RhsE,b1457,
ydfK,1.7446237410962429,14.0,1627328.0,"cold shock protein, function unknown, Qin prophage",b1544,
tfaQ,1.668039350283893,14.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
lpp,2.1383841079553023,15.0,1751677.0,murein lipoprotein,b1677,"['ALPATG160pp', 'ALPATE160pp']"
rpmI,1.3213548270927387,16.0,1794058.0,50S ribosomal subunit protein L35,b1717,
ccmD,1.3150597756568327,17.0,2288855.0,cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor,b2198,['PHEMEabcpp']
nuoA,1.410303166035351,18.0,2398208.0,"NADH:ubiquinone oxidoreductase, membrane subunit A",b2288,"['NADH18pp', 'NADH16pp', 'NADH17pp']"
gtrS,1.766845428801129,19.0,2463744.0,"serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage",b2352,
yfdR,1.308833714651387,20.0,2468462.0,CPS-53 (KpLE1) prophage; conserved protein,b2361,
yqcG,1.4845084656706102,21.0,2898944.0,membrane stress resistance protein,b4682,
yqeL,1.5501499672295753,22.0,2983177.0,uncharacterized protein,b4683,
ygeF,1.3835880655751516,22.0,2983936.0,No_gene_product,b2850,
ygeG,1.335353374279884,22.0,2984626.0,SycD-like chaperone family TPR-repeat-containing protein,b2851,
ygeH,1.3887508514743012,22.0,2985452.0,putative transcriptional regulator,b2852,
ygeI,1.4450000267209828,22.0,2987008.0,uncharacterized protein,b2853,
ygeN,1.409988544167065,22.0,2988672.0,No_gene_product,b2858,
tdcR,1.332288779483772,23.0,3260928.0,L-threonine dehydratase operon activator protein,b3119,
rplU,1.4802091215953828,24.0,3326498.0,50S ribosomal subunit protein L21,b3186,
rplQ,1.4257915965402739,25.0,3432974.0,50S ribosomal subunit protein L17,b3294,
rpoA,1.4442684804826043,25.0,3433398.0,"RNA polymerase, alpha subunit",b3295,
rpsD,1.415960292352776,25.0,3434496.0,30S ribosomal subunit protein S4,b3296,
rpsM,1.4867557608592912,25.0,3435473.0,30S ribosomal subunit protein S13,b3298,
rpmD,1.3638363902926287,25.0,3438080.0,50S ribosomal subunit protein L30,b3302,
rplR,1.3175322394377098,25.0,3438602.0,50S ribosomal subunit protein L18,b3304,
rplF,1.3625233321779922,25.0,3438965.0,50S ribosomal subunit protein L6,b3305,
rpsN,1.6169358765182629,25.0,3440128.0,30S ribosomal subunit protein S14,b3307,
rplE,1.4537427991551426,25.0,3440640.0,50S ribosomal subunit protein L5,b3308,
rplX,1.5313320559738253,25.0,3440811.0,50S ribosomal subunit protein L24,b3309,
rpmC,1.4840219536058692,25.0,3441926.0,50S ribosomal subunit protein L29,b3312,
rplP,1.3740713871745276,25.0,3442117.0,50S ribosomal subunit protein L16,b3313,
rplV,1.3401043018286531,25.0,3443259.0,50S ribosomal subunit protein L22,b3315,
rpsS,1.4280276544688193,25.0,3443712.0,30S ribosomal subunit protein S19,b3316,
rplB,1.3934979548641058,25.0,3443901.0,50S ribosomal subunit protein L2,b3317,
rplW,1.4136963878161972,25.0,3444740.0,50S ribosomal subunit protein L23,b3318,
rplC,1.4820749901689305,25.0,3445655.0,50S ribosomal subunit protein L3,b3320,
rpsJ,1.512302460603993,25.0,3446317.0,30S ribosomal subunit protein S10,b3321,
tufA,2.274778984358813,26.0,3463503.0,translation elongation factor EF-Tu 1,b3339,
rpsG,1.421807945771266,26.0,3467264.0,30S ribosomal subunit protein S7,b3341,
yhhZ,1.3717457445604013,27.0,3575808.0,putative Hcp1 family polymorphic toxin protein; putative colicin-like DNase/tRNase activity,b3442,
waaU,1.5203831181431067,28.0,3791598.0,lipopolysaccharide core biosynthesis,b3623,['HEPT4']
waaS,1.5529843220706083,29.0,3797540.0,lipopolysaccharide rhamnose:KdoIII transferase; lipopolysaccharide core biosynthesis protein,b3629,['RHAT1']
rpmB,1.4743588424843015,30.0,3804797.0,50S ribosomal subunit protein L28,b3637,
metE,1.4688193737570028,31.0,4006412.0,5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase,b3829,['METS']
tufB,2.198163870730481,32.0,4165871.0,translation elongation factor EF-Tu 2,b3980,
rplA,1.383671738989962,32.0,4168806.0,50S ribosomal subunit protein L1,b3984,
rplJ,1.5492758876215509,32.0,4169923.0,50S ribosomal subunit protein L10,b3985,
rplL,1.7405125903678518,32.0,4170487.0,50S ribosomal subunit protein L7/L12,b3986,
yjbS,1.3978493795759137,33.0,4258816.0,uncharacterized protein,b4621,
rpsR,1.474359750840402,34.0,4415655.0,30S ribosomal subunit protein S18,b4202,
ythA,1.373657504731232,35.0,4496384.0,uncharacterized protein,b4655,
